,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
20,No faults,Toyota,Highlander,2009,,,,,,,Gold,Brown,,Yes,,9850000.0,Lagos,,,,
21,"Original parts, No faults",Toyota,Highlander,2008,Limited 4x4,SUV,All Wheel,3500 cc,6,275 hp,Silver,,7,No,,14750000.0,Lagos,,,,
22,"No faults, Unpainted, Original parts",Audi,A6,2016,4dr Sedan AWD,Sedan,All Wheel,,,,Black,Black,,Yes,,35000000.0,Lagos,,,,
23,No faults,Mercedes-Benz,GLC-Class,2016,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,,2000 cc,4,,Gray,Beige,,No,Yes,30240000.0,Lagos,,,,
24,"Original parts, Unpainted, No faults",Honda,Accord,2009,,,,,,,Gray,Brown,,Yes,Yes,5350000.0,Lagos,,,,
25,No faults,Mercedes-Benz,M Class,2013,ML 350 4Matic,SUV,All Wheel,3500 cc,6,302 hp,Blue,Black,5,,,25500000.0,Abuja,,,,
26,,Toyota,Venza,2010,V6 AWD,Crossover,All Wheel,3500 cc,6,273 hp,Silver,,5,,,16500000.0,Abuja,,,,
27,No faults,Lexus,ES,2007,350,,,,6,,Black,Black,,No,No,11900000.0,Lagos,,,,
28,"First owner, First registration, No faults",Toyota,RAV4,2005,,,,,,,Blue,Gray,,Yes,Yes,4600000.0,Lagos,,,,
29,,Volvo,XC90,2007,,,,,,,Blue,Beige,,Yes,,4800000.0,Lagos,,,,
30,No faults,Toyota,Camry,2012,,,,,,,Green,Gray,,No,No,13500000.0,Lagos,,,,
31,"Unpainted, No faults",Toyota,Sienna,2006,,,,,,,Gold,Beige,,No,,8500000.0,Lagos,,,,
32,"First owner, Unpainted, Original parts",Mercedes-Benz,GLE-Class,2017,AMG GLE 43 4MATIC,SUV,All Wheel,3000 cc,6,362 hp,White,Black,5,Yes,,75000000.0,Abuja,,,,
33,No faults,Toyota,RAV4,2016,LE AWD (2.5L 4cyl 6A),SUV,,,,,Blue,Black,5,,,21000000.0,Oyo,,,,
34,,Lexus,ES,2011,350,Sedan,Front,,6,,Silver,,5,,,17000000.0,Abuja,,,,
35,"Original parts, No faults",Toyota,4-Runner,2011,Limited 4WD,SUV,All Wheel,4000 cc,6,270 hp,Black,,5,No,,32000000.0,Lagos,,,,
36,,Mercedes-Benz,GLK-Class,2011,350 4MATIC,SUV,All Wheel,3500 cc,6,268 hp,Gold,,5,Yes,,12950000.0,Lagos,,,,
37,,Hyundai,Santa Fe,2014,Limited 4dr SUV (3.3L 6cyl 6A),SUV,Front Wheel,3300 cc,6,290 hp,White,Red,,No,,19500000.0,Lagos,,,,
38,No faults,Toyota,Highlander,2016,,,,,,,Gray,Black,,No,No,35000000.0,Lagos,,,,
39,No faults,Mercedes-Benz,C300,2015,Sport 4dr AWD 4Matic Sedan (2.0L 4cyl 7A),Sedan,All Wheel,2000 cc,4,241 hp,White,Black,5,No,No,27500000.0,Lagos,55SWF4KB2FU******,,,
40,,Toyota,Highlander,2018,XLE 4x4 V6 (3.5L 6cyl 8A),SUV,All Wheel,3500 cc,6,295 hp,Gray,Black,7-8,,,34000000.0,Lagos,,,,
41,"Original parts, Unpainted, No faults",Lexus,RX,2017,350 AWD,SUV,All Wheel,3500 cc,6,295 hp,White,Brown,5,Yes,Yes,38000000.0,Edo,,,,
42,"No faults, Unpainted",Lexus,IS,2010,,,,,,,White,Black,,No,,13000000.0,Lagos,,,,
43,,Toyota,Venza,2011,,,,,,,Black,Other,,Yes,,12000000.0,Lagos,,,,
44,,Honda,Odyssey,2007,,,,,,,Gray,,,No,,10000000.0,Lagos,,,,
45,,Toyota,RAV4,2008,,,,,,,Gray,Gray,,Yes,,6900000.0,Lagos,,,,
46,No faults,Lexus,RX 350,2009,,,,,,,Blue,Other,,No,,15500000.0,Lagos,,,,
47,"Original parts, Unpainted, No faults",Honda,Pilot,2009,EX 4dr SUV (3.5L 6cyl 5A),SUV,All Wheel,3500 cc,6,253 hp,Gray,Other,8,Yes,No,8999999.0,Lagos,,,,
48,"No faults, Unpainted, Original parts",Nissan,Micra,2005,,,,,,,Black,Other,,No,Yes,4000000.0,Oyo,,,,
49,No faults,Toyota,Highlander,2022,LE,SUV,Front Wheel,3500 cc,6,295 hp,Black,Black,8,No,,59000000.0,Abuja,,,,
50,No faults,Mercedes-Benz,C300,2015,,,,,,,Gray,,,Yes,,19600000.0,Lagos,,,,
51,No faults,Lexus,RX 350,2010,,,,,,,Silver,Black,,No,,21000000.0,Abuja,,,,
52,"First owner, First registration, No faults",Mercedes-Benz,M Class,2013,,,,,,,White,Gray,,Yes,Yes,19950000.0,Lagos,,,,
53,,Mercedes-Benz,C400,2017,,,,,,,Silver,Black,,No,No,36000000.0,Lagos,,,,
54,"First owner, First registration, No faults",Toyota,Highlander,2008,Limited,SUV,Front Wheel,3500 cc,6,275 hp,Other,Other,7,Yes,,11800000.0,Lagos,JTEES42A082******,,,
55,No faults,Lexus,ES,2004,330 Sedan,Sedan,Front,,6,,Black,Other,5,No,,9800000.0,Lagos,,,,
56,No faults,Toyota,Camry,2019,SE (2.5L 4cyl 8A),,,,,,Red,Other,,,,30000000.0,Abuja,,,,
57,"First owner, No faults, First registration",Honda,Accord,2012,Sedan EX,Sedan,Front Wheel,2400 cc,4,190 hp,Gray,Black,5,Yes,,6750000.0,Abuja,,,,
58,"Original parts, Unpainted, No faults",Honda,Accord,2008,,,,,,,Burgundy,Other,,Yes,Yes,5520000.0,Lagos,,,,
59,No faults,Nissan,Frontier,2005,Automatic,,,,,,Gray,Black,,,,5500000.0,Abuja,,,,
60,"No faults, Original parts, First registration",Toyota,Camry,2006,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400 cc,4,154 hp,Gray,Other,5,Yes,,5000000.0,Oyo,,,,
